No	클립제목	유튜브 링크	클립의 조회수	비고
1	좋은 구정 보내세요 고향가는길 다들 조심【2022-02-01T00:23:41Z】	https://www.youtube.com/watch?v=Fj25x3euy0U	1	
2	특종 ) ??? : 저 보다 ??요【2022-02-02T20:29:31Z】	https://www.youtube.com/watch?v=ZpxJGxfEsqg	10	
3	어휴 다들 자나꺠나 알러지조심【2022-02-05T10:22:49Z】	https://www.youtube.com/watch?v=Be2RBY_oytU	1	
4	신작1【2022-02-05T11:24:36Z】	https://www.youtube.com/watch?v=H3LuRWx6xoQ	22	
5	신작2【2022-02-05T11:26:49Z】	https://www.youtube.com/watch?v=hUofNC3ssG4	26	
6	신작3【2022-02-05T11:31:00Z】	https://www.youtube.com/watch?v=ZTDX9fT2kVg	18	
7	어휴 다들 자나꺠나 알러지조심【2022-02-05T11:39:23Z】	https://www.youtube.com/watch?v=dL-UX3JXtCs	2	
8	신작4【2022-02-05T11:43:58Z】	https://www.youtube.com/watch?v=QNZVCeiNWWs	18	
9	우리함께【2022-02-05T11:50:48Z】	https://www.youtube.com/watch?v=lKqya4Vd6tM	9	
10	어휴 다들 자나꺠나 알러지조심【2022-02-05T11:55:00Z】	https://www.youtube.com/watch?v=9FX27OxDpJ8	1	
11	어휴 다들 자나꺠나 알러지조심【2022-02-05T12:17:56Z】	https://www.youtube.com/watch?v=z7UyquGa68M	1	
12	그냥 아무거나【2022-02-05T13:11:51Z】	https://www.youtube.com/watch?v=GJsW2bE_cIU	1	
13	그냥 아무거나【2022-02-05T13:31:50Z】	https://www.youtube.com/watch?v=LbyO1XtkJcI	1	
14	트레이너 사용(?)【2022-02-06T02:01:35Z】	https://www.youtube.com/watch?v=e5yU39ZCfOA	2	
15	록맨 11 재생실도전 노기어, 약점무기금지, e캔 6개, 목숨3개【2022-02-06T05:17:20Z】	https://www.youtube.com/watch?v=r86j3R-X_To	1	
16	록맨 11 재생실도전 노기어, 약점무기금지, e캔 6개, 목숨3개【2022-02-06T05:56:01Z】	https://www.youtube.com/watch?v=n9AdtVtXnbA	1	
17	드디어 코코로뿅뿅에 넘어간 김선배님【2022-02-06T06:38:04Z】	https://www.youtube.com/watch?v=E56gRt7yR00	4	
18	팩트폭격에 급발진【2022-02-06T06:52:22Z】	https://www.youtube.com/watch?v=sgL_VCfP6cY	5	
19	스스로 팩트를 부정하는 스트리머【2022-02-06T06:58:12Z】	https://www.youtube.com/watch?v=eZRaiyuqBN0	5	
