No	클립제목	유튜브 링크	클립의 조회수	비고
1	야발 선배【2022-09-01T03:08:50Z】	https://www.youtube.com/watch?v=rXU-WayZ-BE	7	
2	몸상태가 쵸큼 안좋아!【2022-09-01T08:36:03Z】	https://www.youtube.com/watch?v=JbFqweCYvPE	3	
3	몸상태가 쵸큼 안좋아!【2022-09-01T09:30:14Z】	https://www.youtube.com/watch?v=sL7eq77IFc4	3	
4	몸상태가 쵸큼 안좋아!【2022-09-01T09:33:25Z】	https://www.youtube.com/watch?v=0h5m2vNzexM	1	
5	탈모선배에 비밀【2022-09-02T08:47:47Z】	https://www.youtube.com/watch?v=tDhnM8Ezj_Y	5	
6	갑자기 노래방가고싶어【2022-09-02T09:35:24Z】	https://www.youtube.com/watch?v=J4lVle-TBKI	3	
7	꼬우면 트수해라【2022-09-02T10:06:46Z】	https://www.youtube.com/watch?v=kGKXLMO5hHs	7	
8	팩트체크 ) 50원 더 받을려고 죽는사람이 어딨어 ?【2022-09-02T10:17:11Z】	https://www.youtube.com/watch?v=mv7hoWv8b_4	5	
9	비교체험 ) 극 과 극【2022-09-02T10:47:01Z】	https://www.youtube.com/watch?v=hmFy8es-aKE	8	
10	노래방 퇴짜맞음 ㅋㅋ【2022-09-02T13:27:46Z】	https://www.youtube.com/watch?v=ITFpyZUWZ8w	3	
11	노래방 퇴짜맞음 ㅋㅋ【2022-09-02T13:43:06Z】	https://www.youtube.com/watch?v=ADUiPVI0Ros	1	
12	좋아【2022-09-02T22:44:06Z】	https://www.youtube.com/watch?v=Dhg7lOS2CIU	9	
13	시체유발자【2022-09-03T00:00:55Z】	https://www.youtube.com/watch?v=0_1wgyjEacg	1	
14	반박불가 ) 팩트포격【2022-09-03T08:39:13Z】	https://www.youtube.com/watch?v=0rKvChh6hMk	1	
15	본인이 생각해도 끔찍함【2022-09-04T07:43:56Z】	https://www.youtube.com/watch?v=Oc8rIJGe6uY	29	
16	일생일대의 도박을 할것이냐 말것이냐【2022-09-04T07:57:47Z】	https://www.youtube.com/watch?v=IrUlyaPG_bk	3	
17	일생일대의 도박을 할것이냐 말것이냐【2022-09-04T08:47:18Z】	https://www.youtube.com/watch?v=ejuAVh2OLrc	1	
18	일생일대의 도박을 할것이냐 말것이냐【2022-09-04T09:00:00Z】	https://www.youtube.com/watch?v=IbGbl-gqwus	5	
19	비상탈출!【2022-09-04T09:49:18Z】	https://www.youtube.com/watch?v=F9Qifqdqxmg	1	
20	검증 ) 태초안갑니다【2022-09-04T09:49:21Z】	https://www.youtube.com/watch?v=Ey5wPXVftC0	1	
21	마력충전을 지켜야 한다는 쓉쓉덕【2022-09-04T09:54:56Z】	https://www.youtube.com/watch?v=kbjPNK75S4k	1	
22	자꾸 그러면 됩니다【2022-09-04T10:08:11Z】	https://www.youtube.com/watch?v=jdi6s7GUm3c	1	
23	ㅁㅊㅇ【2022-09-04T10:11:39Z】	https://www.youtube.com/watch?v=AxSQBSOfWKg	11	
24	노래방 퇴짜맞음 ㅋㅋ【2022-09-04T10:12:21Z】	https://www.youtube.com/watch?v=0VK6bOiHcMM	3	
25	노래방 퇴짜맞음 ㅋㅋ【2022-09-04T10:13:12Z】	https://www.youtube.com/watch?v=ExmBVZbA0Es	3	
26	아서왕 탄생!【2022-09-04T10:14:13Z】	https://www.youtube.com/watch?v=7dhHv8lSgxU	15	
27	ㄹㄹㅇㅇ증거【2022-09-04T10:17:36Z】	https://www.youtube.com/watch?v=zljffMYrjec	3	
28	검증 ) 무라마사 깬다 가즈아【2022-09-04T10:21:21Z】	https://www.youtube.com/watch?v=CMcYIUyo0s0	3	
29	탈모선배만 안 그런 거【2022-09-04T11:34:57Z】	https://www.youtube.com/watch?v=pPo-nlJGHxs	1	
30	실시간 김선배【2022-09-04T13:02:34Z】	https://www.youtube.com/watch?v=NNpmgWfXNl8	5	
31	낮 방송의 축복【2022-09-05T07:49:15Z】	https://www.youtube.com/watch?v=wxn4gZEdgs8	3	
