No	클립제목	유튜브 링크	클립의 조회수	비고
1	김선배는 언제나 최선을 다한다!【2021-02-01T12:18:31Z】	https://www.youtube.com/watch?v=kjgyFOuJ0L8	9	
2	따봉선배【2021-02-01T13:35:42Z】	https://www.youtube.com/watch?v=6KkePgp1Eyw	10	
3	조용히 킹오브 드래곤 도전【2021-02-01T13:39:40Z】	https://www.youtube.com/watch?v=6C683LqXiEA	2	
4	조용히 킹오브 드래곤 도전【2021-02-01T14:21:28Z】	https://www.youtube.com/watch?v=b6gPltppiNw	2	
5	ㅋㅋㅋㅋ【2021-02-01T23:27:23Z】	https://www.youtube.com/watch?v=dM33fhOII-Q	5	
6	조용히 킹오브 드래곤 도전【2021-02-02T12:56:39Z】	https://www.youtube.com/watch?v=odybJWhvPho	3	
7	생선배 탈선열차 지금 출발 합니다【2021-02-02T12:58:00Z】	https://www.youtube.com/watch?v=unaIhO3i5Bc	2	
8	탈선열차 시즌2【2021-02-02T12:59:51Z】	https://www.youtube.com/watch?v=z1FT1J-alfI	2	
9	스승 수쥰【2021-02-02T13:05:57Z】	https://www.youtube.com/watch?v=uV2BDTZ4fG8	9	
10	조용히 킹오브 드래곤 도전【2021-02-02T13:18:57Z】	https://www.youtube.com/watch?v=xDxbr5Ni50U	2	
11	보스가 사라진 선배【2021-02-02T13:19:05Z】	https://www.youtube.com/watch?v=clvw_dsLts4	14	
12	조용히 킹오브 드래곤 도전【2021-02-02T15:02:32Z】	https://www.youtube.com/watch?v=Fva7IWX9pw8	1	
13	내 공약【2021-02-02T15:21:04Z】	https://www.youtube.com/watch?v=f1o246kwSi0	3	
14	극찬【2021-02-03T03:17:02Z】	https://www.youtube.com/watch?v=fNXEZoqJ5fA	2	
15	역대급 배팅! 31.1배!【2021-02-03T11:53:15Z】	https://www.youtube.com/watch?v=Bh_zFiJYRWg	5	
16	31배를 달성한 선배. 시청자의 의견은?【2021-02-03T11:55:23Z】	https://www.youtube.com/watch?v=XbQoJwrDcSA	8	
17	입에서 바늘 빼내는 선배님【2021-02-05T13:28:45Z】	https://www.youtube.com/watch?v=MmG_UXtlvOY	32	
18	생선호 죽었어...【2021-02-05T13:50:08Z】	https://www.youtube.com/watch?v=wKfMT76e_-k	4	
