No	클립제목	유튜브 링크	클립의 조회수	비고
1	잡담하며 조용히 디아블로【2021-10-02T10:05:57Z】	https://www.youtube.com/watch?v=o3mFhSc2UKo	1	
2	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T03:29:12Z】	https://www.youtube.com/watch?v=EiOghrXftWM	1	
3	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T06:42:49Z】	https://www.youtube.com/watch?v=dnVAcM9P7Ug	2	
4	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T07:33:02Z】	https://www.youtube.com/watch?v=J_d-qHAusHo	6	
5	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T08:46:14Z】	https://www.youtube.com/watch?v=Te8nSiFaDQc	7	
6	선배 1호기【2021-10-03T08:48:40Z】	https://www.youtube.com/watch?v=8C5YQTCAJ0M	44	
7	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T08:53:00Z】	https://www.youtube.com/watch?v=LVPlxetdmFE	3	
8	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T08:53:55Z】	https://www.youtube.com/watch?v=Ta-O_pJh-nM	2	
9	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T08:54:46Z】	https://www.youtube.com/watch?v=eHFPevsPzR8	2	
10	1호기 사망 로레지저주+불지짐다굴(레벨업 더 하실 조언 1분후)【2021-10-03T09:03:57Z】	https://www.youtube.com/watch?v=-ixbi1SqG0k	2	
11	하드코어] 디린이 팔라 맨땅 ㅇㅅㅇ【2021-10-03T09:31:52Z】	https://www.youtube.com/watch?v=vnvHdlU71mI	3	
12	대동여지도 작업 마무으리인데...【2021-10-03T14:25:58Z】	https://www.youtube.com/watch?v=TEmlszaTyoo	4	
13	선배 2호기【2021-10-03T14:29:49Z】	https://www.youtube.com/watch?v=_gmqwnWhurc	24	
14	하드코어] 디린이 팔라 맨땅 3호기 ㅇㅅㅇ【2021-10-04T02:05:09Z】	https://www.youtube.com/watch?v=bYmFqJHcesM	2	
15	선배 3호기【2021-10-04T02:07:19Z】	https://www.youtube.com/watch?v=vHBZP0WZaV8	21	
16	하드코어] 디린이 팔라 맨땅 4호기 ㅇㅅㅇ【2021-10-04T02:55:42Z】	https://www.youtube.com/watch?v=ytVoeFexvd4	2	
17	하드코어] 디린이 팔라 맨땅 4호기 ㅇㅅㅇ【2021-10-04T03:22:15Z】	https://www.youtube.com/watch?v=m1tCqp0X5T0	1	
18	선배 4호기【2021-10-04T03:26:46Z】	https://www.youtube.com/watch?v=j4bB8DSYURE	15	
19	하드코어] 디린이 어쌔신 맨땅 5호기 ㅇㅅㅇ【2021-10-04T03:59:07Z】	https://www.youtube.com/watch?v=ROnbZzj5gQ8	1	
20	하드코어] 디린이 어쌔신 맨땅 5호기 ㅇㅅㅇ【2021-10-04T04:53:26Z】	https://www.youtube.com/watch?v=Dtf4MD8EB1c	2	
21	하드코어] 디린이 어쌔신 맨땅 5호기 ㅇㅅㅇ【2021-10-04T07:18:05Z】	https://www.youtube.com/watch?v=CEPaEB_LLEI	2	
22	5호기 비명횡사 ㅋ【2021-10-05T11:57:51Z】	https://www.youtube.com/watch?v=oK6Xp3k-dh4	7	
23	선배 5호기【2021-10-05T11:58:32Z】	https://www.youtube.com/watch?v=hgMO7zwk4-0	48	
24	김용주 히든미션성공【2021-10-05T12:17:23Z】	https://www.youtube.com/watch?v=wk2OLyNL8To	4	
25	팩트폭격【2021-10-05T12:28:17Z】	https://www.youtube.com/watch?v=kKAWAmJYHTA	5	
26	팩트폭격에 발끈한 김용주【2021-10-05T12:33:21Z】	https://www.youtube.com/watch?v=8f5voxAG3s0	5	
27	정신공격에서막【2021-10-05T12:38:49Z】	https://www.youtube.com/watch?v=FDuanzKgscQ	11	
28	촌철살인【2021-10-05T12:40:52Z】	https://www.youtube.com/watch?v=Qm-7vPk5McM	3	
29	극찬엔딩【2021-10-05T12:44:34Z】	https://www.youtube.com/watch?v=tOzqwpaNKO4	4	
30	팩트폭격【2021-10-05T12:47:49Z】	https://www.youtube.com/watch?v=6zOwTvtjRiE	11	
31	공개수배【2021-10-05T12:55:59Z】	https://www.youtube.com/watch?v=kSlGFEd4814	16	
32	극찬엔딩【2021-10-05T13:01:45Z】	https://www.youtube.com/watch?v=g7x9LOTgqPA	31	
33	속보)【2021-10-05T13:23:21Z】	https://www.youtube.com/watch?v=oFgw0tOdUP0	18	
34	나메간다 나메가 진짜【2021-10-05T13:56:53Z】	https://www.youtube.com/watch?v=802gkU1NZqs	5	
35	뭐...뭐요 ??? 어리고 뭐요 ????【2021-10-06T10:57:42Z】	https://www.youtube.com/watch?v=ts-ixkdz358	3	
36	팩트폭격【2021-10-06T11:04:30Z】	https://www.youtube.com/watch?v=5YyMOwuXjPU	3	
37	하드코어]  팔라 6호기【2021-10-06T11:52:38Z】	https://www.youtube.com/watch?v=0Nxnxr7RjD4	5	
38	김선배에용기【2021-10-06T11:59:39Z】	https://www.youtube.com/watch?v=ZWTeO3MztGg	4	
39	아파서 잠안와서 킴【2021-10-08T15:18:51Z】	https://www.youtube.com/watch?v=Ly3MSzwbGzM	3	
40	아파서 잠안와서 킴【2021-10-08T16:10:15Z】	https://www.youtube.com/watch?v=xgHfEaByW4g	3	
