No	클립제목	유튜브 링크	클립의 조회수	비고
1	바똑바【2022-08-01T12:07:31Z】	https://www.youtube.com/watch?v=uGfxLzPUi0I	7	
2	쉬대가 잠깐 킴【2022-08-02T11:38:22Z】	https://www.youtube.com/watch?v=ou_kgExrOeI	1	
3	받아라 ) 팩트어택【2022-08-03T08:13:07Z】	https://www.youtube.com/watch?v=sjF4sRxoza4	7	
4	봤냐?【2022-08-03T08:17:43Z】	https://www.youtube.com/watch?v=yFrm4kSb_So	41	
5	봤냐에추억【2022-08-03T08:17:54Z】	https://www.youtube.com/watch?v=N36yCjAJTsE	5	
6	충신 ) 뼈 때리기【2022-08-03T08:22:16Z】	https://www.youtube.com/watch?v=Qu2sMutphJE	11	
7	망언 ) 땡길 수 있을 때 땡겨야 한다는 【2022-08-03T08:25:43Z】	https://www.youtube.com/watch?v=1JUAyn9Sltc	9	
8	노골적인 팩트폭격【2022-08-03T08:28:35Z】	https://www.youtube.com/watch?v=m0uOX2KxwRo	9	
9	팩트만 말하는 충신【2022-08-03T08:32:12Z】	https://www.youtube.com/watch?v=kko3CeJm-to	9	
10	르포라이터충신에 팩트폭격【2022-08-03T08:36:28Z】	https://www.youtube.com/watch?v=eEiG4K_AgEg	13	
11	오늘에 핫가십【2022-08-03T08:42:50Z】	https://www.youtube.com/watch?v=mLNk6XxmuVA	7	
12	팩트에 급발진【2022-08-03T08:44:04Z】	https://www.youtube.com/watch?v=R9vu6mUIAZg	5	
13	아더왕의 전설【2022-08-03T08:49:05Z】	https://www.youtube.com/watch?v=DzkWm8BTZAI	1	
14	아더왕의 전설【2022-08-03T09:19:54Z】	https://www.youtube.com/watch?v=i64FUtWBVok	1	
15	60년 산 인생탈모선배 조언【2022-08-03T09:26:49Z】	https://www.youtube.com/watch?v=Ki2yzH47DYE	7	
16	충신 되살려주는 팩트폭격 ) 렌트에추억【2022-08-03T09:29:52Z】	https://www.youtube.com/watch?v=R5Z4lj4iJKs	5	
17	잭팟에추억【2022-08-03T09:41:34Z】	https://www.youtube.com/watch?v=uip56BO3BVQ	5	
18	기적의【2022-08-03T09:47:21Z】	https://www.youtube.com/watch?v=-HqRtlRTzfQ	3	
19	팩트청문회【2022-08-03T09:48:06Z】	https://www.youtube.com/watch?v=HLWCxmGMfXM	7	
20	안죽어!【2022-08-03T09:48:58Z】	https://www.youtube.com/watch?v=oJGHKnA3CyU	3	
21	예언가 트수【2022-08-03T09:49:12Z】	https://www.youtube.com/watch?v=WmvwceQrBrE	5	
22	팩트청문회1【2022-08-03T09:52:16Z】	https://www.youtube.com/watch?v=S69bnoJPsGE	5	
23	팩트청문회2【2022-08-03T09:54:08Z】	https://www.youtube.com/watch?v=WXxX1Z4adRc	11	
24	팩트청문회3【2022-08-03T09:56:23Z】	https://www.youtube.com/watch?v=HKZSdjHvgh4	5	
25	나스 아이디 팔고 싶은 선배님【2022-08-03T09:58:22Z】	https://www.youtube.com/watch?v=AsH6d3YLDFU	17	
26	의도가 불순한 탈모쿤【2022-08-03T09:58:25Z】	https://www.youtube.com/watch?v=j8Y86Uj-dxE	7	
27	팩트청문회4【2022-08-03T10:00:02Z】	https://www.youtube.com/watch?v=Q79vzO2U5go	3	
28	재밌는 건 2번봐야 ^_______^【2022-08-03T10:08:29Z】	https://www.youtube.com/watch?v=1Gtk9WlcHlA	9	
29	재밌는 건 3번봐야【2022-08-03T10:11:06Z】	https://www.youtube.com/watch?v=iORWie1Veyc	5	
30	재밌는 건 4번봐야【2022-08-03T10:11:41Z】	https://www.youtube.com/watch?v=FZr3VOQDWoY	15	
31	자업자득【2022-08-03T10:46:59Z】	https://www.youtube.com/watch?v=XrVVbTI-NNk	7	
32	레전드 업적【2022-08-03T10:48:43Z】	https://www.youtube.com/watch?v=uArlcysYDO8	5	
33	어우 누구에요 ? 뻔뻔하게 ?【2022-08-03T10:49:46Z】	https://www.youtube.com/watch?v=USz1pM5WOWg	5	
34	yes or yes【2022-08-03T10:55:45Z】	https://www.youtube.com/watch?v=5L9d4aRlRhE	7	
35	탐정쿤에 슬픔【2022-08-03T11:03:06Z】	https://www.youtube.com/watch?v=rX0jaVgcpWE	9	
36	아더왕의 전설【2022-08-03T11:45:57Z】	https://www.youtube.com/watch?v=QDHgnfcMfyk	3	
37	??? : 지금은 사람다워졌지【2022-08-03T11:50:31Z】	https://www.youtube.com/watch?v=LXmT9KXSXcU	19	
38	전문가 탈모선배【2022-08-03T11:58:29Z】	https://www.youtube.com/watch?v=bd1FTMHtzMw	11	
39	허세와 하수【2022-08-04T06:59:28Z】	https://www.youtube.com/watch?v=O3tNUbtfFKQ	3	
40	월클이 아닌 얼큰【2022-08-04T07:33:34Z】	https://www.youtube.com/watch?v=12d44XZ67UU	3	
41	쉰(?)입여캠에 감탄하는 사무라이【2022-08-04T07:53:36Z】	https://www.youtube.com/watch?v=Ho5bANjwiQA	9	
