No	클립제목	유튜브 링크	클립의 조회수	비고
1	능지게임 전문가【2021-09-01T10:54:47Z】	https://www.youtube.com/watch?v=juzUL1mypHg	2	
2	능지게임 전문가【2021-09-01T11:01:59Z】	https://www.youtube.com/watch?v=OECxMh3T8p4	2	
3	안되【2021-09-01T11:30:52Z】	https://www.youtube.com/watch?v=Lpn6QSxE8KE	2	
4	북...북한이 뭐요 ???【2021-09-01T11:38:04Z】	https://www.youtube.com/watch?v=7v_ZMDSA8Pk	2	
5	능지게임 전문가【2021-09-01T11:38:17Z】	https://www.youtube.com/watch?v=Wxz2y0L9VJg	2	
6	북한이간호사코리아라구요?【2021-09-01T11:38:29Z】	https://www.youtube.com/watch?v=So4BELmXrQw	6	
7	내가 언제 그렇게 주장했어 ?【2021-09-01T11:41:08Z】	https://www.youtube.com/watch?v=bP2v_2-pLSs	2	
8	강한부정은 뭐다 ? 【2021-09-01T11:46:43Z】	https://www.youtube.com/watch?v=qEnj9CKvvU4	2	
9	능지게임 전문가【2021-09-01T11:59:13Z】	https://www.youtube.com/watch?v=xoxDz1hmW5k	2	
10	1칸 오르기 성공【2021-09-01T12:13:31Z】	https://www.youtube.com/watch?v=ajCSx7v_5uY	4	
11	능지게임 전문가【2021-09-01T12:13:31Z】	https://www.youtube.com/watch?v=QMGGHU6HkcM	2	
12	능지게임 전문가【2021-09-01T13:01:05Z】	https://www.youtube.com/watch?v=grwnPCZXga4	2	
13	능지게임을 전문으로 진지하게 하는사람【2021-09-02T11:15:47Z】	https://www.youtube.com/watch?v=EoyVe0fxRDk	2	
14	능지게임을 전문으로 진지하게 하는사람【2021-09-02T12:14:48Z】	https://www.youtube.com/watch?v=iys9tE29hAc	1	
15	능지게임을 전문으로 진지하게 하는사람【2021-09-02T12:19:16Z】	https://www.youtube.com/watch?v=bmRa9F6HthM	1	
16	능지게임을 전문으로 진지하게 하는사람【2021-09-02T12:49:04Z】	https://www.youtube.com/watch?v=5_54iSLBS_M	1	
17	방송은 이런거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ【2021-09-02T13:32:04Z】	https://www.youtube.com/watch?v=np46a7KmQ90	6	
18	능지게임을 전문으로 진지하게 하는사람【2021-09-02T14:00:14Z】	https://www.youtube.com/watch?v=IpbnEDVVvZQ	1	
19	내가 바로 능지전문가【2021-09-03T12:33:26Z】	https://www.youtube.com/watch?v=VTRPh9ljLOY	3	
20	불법체류자 인정【2021-09-03T13:12:39Z】	https://www.youtube.com/watch?v=GCstmcKPLYk	2	
21	평론가에 촌철살인【2021-09-03T13:16:35Z】	https://www.youtube.com/watch?v=1smj3GUa0mQ	3	
22	촌철살인【2021-09-03T14:03:09Z】	https://www.youtube.com/watch?v=EABjn8uqDks	3	
