No	클립제목	유튜브 링크	클립의 조회수	비고
1	팩트포격【2022-11-02T09:56:43Z】	https://www.youtube.com/watch?v=a6u3yZAX9GA	1	
2	가발인데 헛소리 하는 쓉쓉덕【2022-11-02T09:59:29Z】	https://www.youtube.com/watch?v=RK5NlZtGAzE	1	
3	잠시잠깐 킴【2022-11-02T10:04:16Z】	https://www.youtube.com/watch?v=CkOChMhXFNw	1	
4	걱정은 충신에게 받는 로리와인【2022-11-02T10:04:50Z】	https://www.youtube.com/watch?v=oTPdyhMpNu4	1	
5	팩트에 뜨끔한 늙은이【2022-11-02T10:08:04Z】	https://www.youtube.com/watch?v=UVnrNk83uko	1	
6	코로나 투병중 잠시【2022-11-16T08:36:38Z】	https://www.youtube.com/watch?v=cOwZs70OhmE	9	
7	오래간만에 반갑습니다. 잡담 + 세팅【2022-11-21T02:16:45Z】	https://www.youtube.com/watch?v=GCuAbGjdaDY	3	
8	오래간만에 반갑습니다. 잡담 + 세팅【2022-11-21T05:00:32Z】	https://www.youtube.com/watch?v=AHSgb2hdSwU	21	
9	오래간만에 반갑습니다. 잡담 + 세팅【2022-11-21T11:58:36Z】	https://www.youtube.com/watch?v=fFbBDn9CYY0	1	
10	태초에 결과【2022-11-23T09:51:31Z】	https://www.youtube.com/watch?v=BGfNxwxdMkM	1	
11	헛소리 ) 는 박제【2022-11-23T09:57:27Z】	https://www.youtube.com/watch?v=azah3Ap6BjY	1	
12	김선배에 형수님 아냐쨩【2022-11-23T10:00:42Z】	https://www.youtube.com/watch?v=kyHOUVEhc7I	1	
13	충신에안부【2022-11-23T11:12:49Z】	https://www.youtube.com/watch?v=1fnI9wg2Hes	1	
14	밥【2022-11-24T07:57:12Z】	https://www.youtube.com/watch?v=ztMQubZGlaU	1	
15	아침 청소하고 밥먹어 밥【2022-11-25T00:23:20Z】	https://www.youtube.com/watch?v=5bICe_QvTiI	9	
16	마셨나【2022-11-25T02:21:21Z】	https://www.youtube.com/watch?v=LyL6bFVq6uQ	3	
17	고양이 캣타워 조립【2022-11-25T04:18:48Z】	https://www.youtube.com/watch?v=PhdnCzcT2EQ	3	
18	컬드셉트2【2022-11-25T08:44:52Z】	https://www.youtube.com/watch?v=ru2-uoNtmZQ	1	
19	김선배 ) 입이 문제【2022-11-25T08:55:33Z】	https://www.youtube.com/watch?v=hiNcmUFwD6k	1	
20	컬드셉트2【2022-11-25T11:00:37Z】	https://www.youtube.com/watch?v=znATKQRiZYY	1	
21	잠시만 잠방【2022-11-26T05:00:20Z】	https://www.youtube.com/watch?v=BG2UVQ2AIqE	1	
22	조용히 밥이나 먹자【2022-11-26T10:22:09Z】	https://www.youtube.com/watch?v=CQIK16tQQCU	1	
23	이야기 나누며 컬드셉트【2022-11-26T14:27:50Z】	https://www.youtube.com/watch?v=YoJspD3BwUo	1	
24	선.칼.협【2022-11-27T02:29:15Z】	https://www.youtube.com/watch?v=L94rCOc7Zrg	33	
25	펙트포격에 헛소리【2022-11-27T04:36:37Z】	https://www.youtube.com/watch?v=ZVB8qwEPpWM	1	
26	야마구치 키무센빠이【2022-11-27T04:46:07Z】	https://www.youtube.com/watch?v=h55W28D5lYM	1	
27	밥 다먹고 잠시 잡담타임【2022-11-27T04:49:07Z】	https://www.youtube.com/watch?v=KD2c31KPCiI	5	
28	밥 다먹고 잠시 잡담타임【2022-11-27T05:05:40Z】	https://www.youtube.com/watch?v=eenyib3_nu0	1	
29	못킨다고 해놓고 잠시 켜기【2022-11-28T08:17:09Z】	https://www.youtube.com/watch?v=Z4b2M5XNk-s	1	
30	내가 끓인 된장찌개 과연 먹을수 있을까?【2022-11-28T10:50:26Z】	https://www.youtube.com/watch?v=TqIdvd1UPwg	1	
31	팩트어택에 극찬【2022-11-29T09:30:15Z】	https://www.youtube.com/watch?v=nOJpbt0tr3o	1	
32	생과같이0【2022-11-29T11:51:53Z】	https://www.youtube.com/watch?v=8N6zgbLqJtQ	3	
33	차가...【2022-11-30T08:19:43Z】	https://www.youtube.com/watch?v=qyUpoE1Zwdg	5	
34	탈모선배가 반한 그 장면【2022-11-30T13:31:26Z】	https://www.youtube.com/watch?v=oln7wYh2Jtc	3	
35	팩트에 극찬하는 할아버지【2022-11-30T13:58:55Z】	https://www.youtube.com/watch?v=lDHECVBNBh8	1	
36	충신에 틀린말이 없다【2022-11-30T14:15:36Z】	https://www.youtube.com/watch?v=6Vlrk6CGEVA	3	
37	만조쿠한 할아버지【2022-11-30T14:17:10Z】	https://www.youtube.com/watch?v=k0EQ4wshlaI	1	
38	탈모극장【2022-11-30T14:23:19Z】	https://www.youtube.com/watch?v=czfiKfcbLEQ	1	
