No	클립제목	유튜브 링크	클립의 조회수	비고
1	나의 주적은 잠이다【2021-06-01T01:34:26Z】	https://www.youtube.com/watch?v=Cnp1fvwGByU	2	
2	자본주의에 노예【2021-06-01T13:17:55Z】	https://www.youtube.com/watch?v=xLnKuU9RghE	2	
3	고규진사마 【2021-06-01T13:23:24Z】	https://www.youtube.com/watch?v=ShA35txw_cs	5	
4	메이드복 수출 공지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ【2021-06-01T13:26:03Z】	https://www.youtube.com/watch?v=H6E954mnOcI	6	
5	속보 ) 다음펀딩【2021-06-01T13:38:22Z】	https://www.youtube.com/watch?v=WLW-W5LwJo4	9	
6	속보 ) 다음펀딩【2021-06-01T13:46:52Z】	https://www.youtube.com/watch?v=DQ0piu_TjiQ	3	
7	웨딩피치 예고??【2021-06-01T13:57:04Z】	https://www.youtube.com/watch?v=B3-mhKs_EHE	2	
8	안잤어【2021-06-01T14:40:05Z】	https://www.youtube.com/watch?v=x1qe4y7Ju0w	1	
9	내가 말이야 어!【2021-06-01T14:40:10Z】	https://www.youtube.com/watch?v=51Vn2vp5-KA	10	
10	두번째  메이드복 세트 도착 언방식【2021-06-01T15:13:51Z】	https://www.youtube.com/watch?v=0BM34sgRJMk	3	
11	메이드복 언방식 하면서 행복해 하는 선배님【2021-06-01T15:14:49Z】	https://www.youtube.com/watch?v=J5-hK1vVgr0	2	
12	메이드복 사이즈 측정 【2021-06-01T15:15:59Z】	https://www.youtube.com/watch?v=F8-Q-I6PtpA	3	
13	뭐왜【2021-06-01T15:16:59Z】	https://www.youtube.com/watch?v=ciEIuGt7FF0	5	
14	가발 세팅 연습【2021-06-01T15:18:21Z】	https://www.youtube.com/watch?v=zl0ufLGZ_aY	2	
15	kim sunbae lady boy!【2021-06-01T15:18:23Z】	https://www.youtube.com/watch?v=E-pAVhoHONs	40	
16	안잤어【2021-06-01T15:21:18Z】	https://www.youtube.com/watch?v=sZFBut-uONo	7	
17	담배펴도ㅇㅈ【2021-06-01T15:24:30Z】	https://www.youtube.com/watch?v=BDSH5ehpH74	2	
18	현타와서 담배 뻑뻑【2021-06-01T15:24:35Z】	https://www.youtube.com/watch?v=guC2WwxB7DU	17	
19	못 볼 꼴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ【2021-06-01T15:32:26Z】	https://www.youtube.com/watch?v=46sxbjfdAMQ	4	
20	안잤어【2021-06-01T15:32:36Z】	https://www.youtube.com/watch?v=lVyn3muitkA	1	
21	1000명 찍으면...【2021-06-03T14:45:17Z】	https://www.youtube.com/watch?v=PbFuyXMXr-0	4	
22	경건한마음 【2021-06-04T15:40:48Z】	https://www.youtube.com/watch?v=NGbC8OULtcQ	4	
23	신입 스트리머 인척하기【2021-06-05T06:55:11Z】	https://www.youtube.com/watch?v=uMuWuSKijQc	1	
24	생선 카운트 다운【2021-06-05T07:00:49Z】	https://www.youtube.com/watch?v=oibIqsw2Y70	3	
25	메이드복 오픈【2021-06-05T07:00:50Z】	https://www.youtube.com/watch?v=J-eeLzlJyDo	5	
26	고슈진사마 ㅋㅋㅋㅋㅋ【2021-06-05T07:01:51Z】	https://www.youtube.com/watch?v=xhgJfupcAbg	4	
27	어서오세요 주인님~♡【2021-06-05T07:01:52Z】	https://www.youtube.com/watch?v=ja1ClX5P548	6	
28	메이드복 입고 정체성을 찾은 생선배님【2021-06-05T07:02:55Z】	https://www.youtube.com/watch?v=XoJ80oy7nN0	3	
29	신입 스트리머 인척하기 이게 축제야? 어딜봐서?【2021-06-05T07:03:10Z】	https://www.youtube.com/watch?v=p_ZbOqeXDMk	3	
30	우마뾰이 스타트【2021-06-05T07:14:13Z】	https://www.youtube.com/watch?v=B7m-sn9aHAY	102	
31	신입 스트리머 인척하기 이게 축제야? 어딜봐서?【2021-06-05T07:14:23Z】	https://www.youtube.com/watch?v=nSU71fKXeGk	2	
32	신입 스트리머 인척하기 이게 축제야? 어딜봐서?【2021-06-05T07:14:34Z】	https://www.youtube.com/watch?v=s5rTPMdTESA	10	
33	생마뾰이 시작~중간【2021-06-05T07:14:52Z】	https://www.youtube.com/watch?v=HP5A1V32zf8	2	
