No	클립제목	유튜브 링크	클립의 조회수	비고
1	2코인이라서 금방(?) 깬다는 선배【2022-06-02T09:50:57Z】	https://www.youtube.com/watch?v=fJkOAiHdWAI	5	
2	충신에 응원【2022-06-02T09:51:19Z】	https://www.youtube.com/watch?v=tbCbZ4QRnpw	4	
3	충신에 응원메세지【2022-06-02T10:15:10Z】	https://www.youtube.com/watch?v=t23sBHT1qnE	5	
4	gay join go !!!【2022-06-02T10:30:04Z】	https://www.youtube.com/watch?v=Fow0wN90y7g	3	
5	검증 ) 패션센스부심에 충신에 한마디【2022-06-02T10:35:14Z】	https://www.youtube.com/watch?v=TG3wYOmTjYg	10	
6	팩트폭격【2022-06-02T10:37:37Z】	https://www.youtube.com/watch?v=InLNJ87DZlY	9	
7	팩트 ) 탈모선배에 비밀【2022-06-02T10:40:29Z】	https://www.youtube.com/watch?v=OMoecFM4qFU	4	
8	극찬에 햄벅한 쓉쓉덕【2022-06-02T10:45:25Z】	https://www.youtube.com/watch?v=sI5UnQnx99s	20	
9	검증 ) 충신에 바람【2022-06-03T07:05:45Z】	https://www.youtube.com/watch?v=MQ0pQCb1BLg	9	
10	신규유입영상【2022-06-03T07:41:05Z】	https://www.youtube.com/watch?v=5cwUNe6N_ZQ	3	
11	480트 기념 축하공연【2022-06-03T11:13:11Z】	https://www.youtube.com/watch?v=0iDfCegDZbE	46	
12	행패시전【2022-06-03T12:19:46Z】	https://www.youtube.com/watch?v=yVAMpB_1aRI	13	
13	아 씨! 깬다고【2022-06-04T01:29:48Z】	https://www.youtube.com/watch?v=Kgx35KDtHsY	1	
14	ㅋㅋㅋㅋ【2022-06-04T01:36:46Z】	https://www.youtube.com/watch?v=ekUQezSHv7k	3	
15	판떼기 끄자【2022-06-04T06:45:11Z】	https://www.youtube.com/watch?v=MbdsZw29U7s	10	
16	조건 변경【2022-06-04T06:49:15Z】	https://www.youtube.com/watch?v=1phDeUcdoz0	3	
17	버튜버【2022-06-05T11:05:43Z】	https://www.youtube.com/watch?v=CsdCjlgOeXA	7	
18	아무도 알려주지 않아 헛소리하는 쓉쓉덕【2022-06-06T13:07:27Z】	https://www.youtube.com/watch?v=plQ5yDqHl1w	15	
19	어우 몸이 안좋아【2022-06-06T13:39:50Z】	https://www.youtube.com/watch?v=_PksjF9kvmM	2	
20	공개수배) 가발갈취【2022-06-07T10:03:50Z】	https://www.youtube.com/watch?v=FTglSq-jW34	4	
21	오늘은 이겜 먹는다【2022-06-07T10:56:40Z】	https://www.youtube.com/watch?v=pjZL9Tj_67A	1	
22	그런방송 맞읍니다【2022-06-07T11:23:47Z】	https://www.youtube.com/watch?v=HfIDc6uPrYQ	13	
23	팩트에 극찬하는 쓉쓉덕【2022-06-07T13:29:13Z】	https://www.youtube.com/watch?v=ACB5kqYcKtI	15	
24	그거 나라고!!【2022-06-07T13:33:13Z】	https://www.youtube.com/watch?v=S9atYIK9trg	4	
25	뼈 때리는 충신에 간언【2022-06-07T13:33:17Z】	https://www.youtube.com/watch?v=3qgnW5AoCaQ	2	
26	덤벼라 하늘땅【2022-06-07T23:54:51Z】	https://www.youtube.com/watch?v=6_xNtnGFYgc	1	
27	덤벼라 하늘땅【2022-06-08T01:29:17Z】	https://www.youtube.com/watch?v=uFEn3_nmuYQ	1	
28	덤벼라 하늘땅【2022-06-08T02:08:22Z】	https://www.youtube.com/watch?v=sc24kH4yG4w	15	
29	덤벼라 하늘땅【2022-06-08T02:09:59Z】	https://www.youtube.com/watch?v=_To2XQJPplw	4	
30	드디어 1승!【2022-06-08T02:13:33Z】	https://www.youtube.com/watch?v=7CfD-WZJbBE	39	
31	짠 하지마!【2022-06-08T02:19:33Z】	https://www.youtube.com/watch?v=FqyATjvWs_E	18	
32	2코인 클리어【2022-06-08T10:26:23Z】	https://www.youtube.com/watch?v=cWvq-uitTOQ	6	
33	천지는 먹었다 롤 배치고사 해보기【2022-06-08T10:36:54Z】	https://www.youtube.com/watch?v=XZH_gnBw6m0	1	
34	게임한판만하자【2022-06-08T22:56:47Z】	https://www.youtube.com/watch?v=clAjo931h0A	2	
35	마지막 남은 목숨, 생선이 선배를 살리다【2022-06-09T00:01:43Z】	https://www.youtube.com/watch?v=W_9vZ3QPBwE	2	
36	해-명해-생선찜【2022-06-09T09:06:09Z】	https://www.youtube.com/watch?v=m-wXi3kfl1A	4	
37	배치고사【2022-06-09T09:21:06Z】	https://www.youtube.com/watch?v=xhEPyTIPxVU	3	
38	선배 우승【2022-06-09T10:07:41Z】	https://www.youtube.com/watch?v=-TW6axlaqQw	2	
39	신의 도움【2022-06-09T10:18:16Z】	https://www.youtube.com/watch?v=1XEDSwjRuwc	14	
40	후일담 ) 탈모선배에 메이드복【2022-06-10T06:01:19Z】	https://www.youtube.com/watch?v=aF0QyIZ1hWY	3	
41	일단 브론즈부터 정복【2022-06-10T06:09:38Z】	https://www.youtube.com/watch?v=XcEdWu-7XxA	2	
