No	클립제목	유튜브 링크	클립의 조회수	비고
1	공룡을 잡아야한다【2022-04-01T04:39:24Z】	https://www.youtube.com/watch?v=FlE0o9uleUw	3	
2	그럴사람【2022-04-01T07:09:01Z】	https://www.youtube.com/watch?v=yAjNbCpqUSo	34	
3	응원메세지에 행패부리는 쓉쓉덕【2022-04-01T08:22:01Z】	https://www.youtube.com/watch?v=gbftjkOSyiU	20	
4	응원메세지2【2022-04-01T08:23:56Z】	https://www.youtube.com/watch?v=y0KBFwBJBdM	4	
5	충신응원에 극찬한 쓉쓉덕【2022-04-01T08:34:03Z】	https://www.youtube.com/watch?v=H5kL4sG3VVE	50	
6	흐뭇한 보물창고에 쓉쓉덕【2022-04-01T08:47:46Z】	https://www.youtube.com/watch?v=irXvmSyZS5k	4	
7	cadillac speed run (22/04/01)【2022-04-01T08:53:18Z】	https://www.youtube.com/watch?v=Z7JGjFsqMJ4	4	
8	응원메세지4【2022-04-01T09:08:05Z】	https://www.youtube.com/watch?v=cRAEobluJ04	9	
9	응원메세지5【2022-04-01T09:24:27Z】	https://www.youtube.com/watch?v=zqsr0aU-IBY	8	
10	특종 ) 모발과 클리어와에 연관성【2022-04-01T09:31:00Z】	https://www.youtube.com/watch?v=oNGocRTJmdE	5	
11	경축 ) 올해 2022 쓉쓉덕 다윈상 획득【2022-04-01T09:32:31Z】	https://www.youtube.com/watch?v=M68BHZr2rBo	11	
12	죽으려고 통으로 가는 선배님【2022-04-01T09:32:41Z】	https://www.youtube.com/watch?v=AKCzNo6e8mA	4	
13	데드 아티스트【2022-04-01T09:34:27Z】	https://www.youtube.com/watch?v=fjO9jMYJVag	7	
14	충신에 쓴소리【2022-04-01T09:42:45Z】	https://www.youtube.com/watch?v=kvd-CgfKl-0	4	
15	충신에 쓴소리 2【2022-04-01T09:44:53Z】	https://www.youtube.com/watch?v=4BP5kUv9ASU	4	
16	파파보다 빨리깬다, 자신있다 선언【2022-04-01T09:54:47Z】	https://www.youtube.com/watch?v=wr_qIANJ5wo	3	
17	이렇게 혜자 미션을 태운다고 ? 풉【2022-04-01T10:04:31Z】	https://www.youtube.com/watch?v=gg8Kg6R8fig	4	
18	뼈 있는 핵심단타【2022-04-01T10:11:20Z】	https://www.youtube.com/watch?v=Ulixny6FWKo	4	
19	충신들에 한 주간 이슈【2022-04-01T10:12:17Z】	https://www.youtube.com/watch?v=VklxV2MqaiQ	4	
20	what to do【2022-04-01T10:17:54Z】	https://www.youtube.com/watch?v=Zh5PgGXDYZc	8	
21	허락 받고 올리는 충신【2022-04-01T10:18:15Z】	https://www.youtube.com/watch?v=f7H-HHNjpCw	6	
22	충신에 노고를 치하하는 쓉쓉덕【2022-04-01T10:20:36Z】	https://www.youtube.com/watch?v=cKsIZYMOQ9Q	6	
23	cadillac speed run (22/04/01)【2022-04-01T10:23:12Z】	https://www.youtube.com/watch?v=ex-HS2t3u9Y	4	
24	입구컷【2022-04-01T10:51:13Z】	https://www.youtube.com/watch?v=jymE9UUGTcQ	3	
25	충신에 응원【2022-04-01T11:29:38Z】	https://www.youtube.com/watch?v=WNMwyAHBfDU	7	
26	던격 대기중【2022-04-02T02:25:48Z】	https://www.youtube.com/watch?v=lF8-eU-RpEg	2	
27	던격 스트라이커 달린다【2022-04-02T03:46:16Z】	https://www.youtube.com/watch?v=k2D0MhBB-Y8	2	
28	던격 스트라이커 달린다【2022-04-02T04:17:51Z】	https://www.youtube.com/watch?v=f-pwtbPmiOc	2	
29	던격 스트라이커 연습【2022-04-02T12:58:20Z】	https://www.youtube.com/watch?v=NpSCwrTSo7M	2	
30	던격 스트라이커 연습【2022-04-02T13:25:28Z】	https://www.youtube.com/watch?v=bmHoVUeROyM	1	
31	던격 스트라이커 연습【2022-04-02T13:33:27Z】	https://www.youtube.com/watch?v=dRqz94a1hg0	1	
32	매국쓉쓉덕【2022-04-02T14:06:09Z】	https://www.youtube.com/watch?v=97NhiebQQro	15	
33	던격 스트라이커 연습【2022-04-02T14:06:32Z】	https://www.youtube.com/watch?v=AH-3feJ6ANE	2	
34	내가 싫어 ?【2022-04-02T14:17:21Z】	https://www.youtube.com/watch?v=85sGpUXpFYg	9	
35	dive kick restand loop【2022-04-02T23:05:46Z】	https://www.youtube.com/watch?v=w7x1mWVR_Sw	3	
36	늙네의 던격 스트라이커 연습【2022-04-03T01:25:51Z】	https://www.youtube.com/watch?v=d1Ck7X1MBxk	3	
37	xD【2022-04-03T02:33:17Z】	https://www.youtube.com/watch?v=I6kgiHImgBc	22	
38	늙네의 던격 스트라이커 연습【2022-04-03T02:43:33Z】	https://www.youtube.com/watch?v=yxjx3ne3O44	2	
39	늙네의 던격 스트라이커 연습【2022-04-03T11:55:54Z】	https://www.youtube.com/watch?v=Je7u8CQgadM	2	
40	던격 강점기 마지막날【2022-04-04T09:00:46Z】	https://www.youtube.com/watch?v=jGgCTJizt-Y	2	
41	던격 강점기 마지막날【2022-04-04T10:21:39Z】	https://www.youtube.com/watch?v=CmkCFT5mR_Y	1	
42	김센빠이의기만【2022-04-04T10:34:47Z】	https://www.youtube.com/watch?v=Uo8RUbNWRG0	2	
43	어머니에게 변명을 ???【2022-04-04T10:47:07Z】	https://www.youtube.com/watch?v=9jVx2kfFt4M	7	
44	마음맞는 아가씨 어디 있을꺼야【2022-04-04T10:54:34Z】	https://www.youtube.com/watch?v=DP_R5Sesne0	4	
45	특종 ) 마음맞는아가씨【2022-04-04T10:55:25Z】	https://www.youtube.com/watch?v=Lqp0m1Fg8MA	7	
46	튀겨지는 선배【2022-04-05T09:29:07Z】	https://www.youtube.com/watch?v=kEvmiXM-_ZA	16	
47	본업 복귀【2022-04-05T09:29:11Z】	https://www.youtube.com/watch?v=XyyY38BwjQo	2	
48	클리어의 조건【2022-04-05T09:41:04Z】	https://www.youtube.com/watch?v=4OHbgwGGj6I	2	
49	말 걸지마에 결과【2022-04-05T09:56:56Z】	https://www.youtube.com/watch?v=lebv4oYqRz4	4	
50	그는 갔읍니다 ㅠ ㅅ ㅠ【2022-04-05T10:05:31Z】	https://www.youtube.com/watch?v=Eic9mVmRdb0	59	
51	응원곡【2022-04-05T10:13:36Z】	https://www.youtube.com/watch?v=B1hQjAPNdHQ	18	
52	잃어버린 소리를 찾아서【2022-04-05T10:17:30Z】	https://www.youtube.com/watch?v=qrqhYiSIWbA	10	
53	응원곡【2022-04-05T12:15:16Z】	https://www.youtube.com/watch?v=PgGATOUtae4	42	
54	수퍼고닉2 개꿀잼【2022-04-06T07:48:57Z】	https://www.youtube.com/watch?v=-Fq46RO_1ks	1	
55	팩트에 극찬하는 쓉쓉덕【2022-04-06T08:48:50Z】	https://www.youtube.com/watch?v=thC5uiieBpQ	8	
56	팩트폭격【2022-04-06T09:14:06Z】	https://www.youtube.com/watch?v=NcDW7n1L3OA	9	
57	알려드림【2022-04-06T09:15:22Z】	https://www.youtube.com/watch?v=iyjn6pFLHiM	21	
58	캐딜락 클리어【2022-04-06T10:05:55Z】	https://www.youtube.com/watch?v=LjcKH8P44Uw	2	
59	ㅂ신과함께【2022-04-06T10:57:40Z】	https://www.youtube.com/watch?v=6Y4VPa3q54M	1	
60	컴퓨터 업글하러 간만에 야방【2022-04-07T01:35:08Z】	https://www.youtube.com/watch?v=zKsqsf5Bqz8	3	
61	컴퓨터 업글하러 간만에 야방【2022-04-07T02:48:01Z】	https://www.youtube.com/watch?v=LG_5n1zbwx0	1	
62	특종 ) 모발이식을 위해 금융치료요청【2022-04-07T03:38:33Z】	https://www.youtube.com/watch?v=_mOkUAzDFXk	5	
63	컴퓨터 업글하러 간만에 야방【2022-04-07T08:19:33Z】	https://www.youtube.com/watch?v=QHUDcRWpGp8	1	
64	송출컴 안정화 테스트 및 파이널 파이트2【2022-04-08T06:13:01Z】	https://www.youtube.com/watch?v=uVBBFyCxuy0	2	
65	송출컴 안정화 테스트 및 파이널 파이트2【2022-04-08T07:00:45Z】	https://www.youtube.com/watch?v=KIrgAE10JFM	1	
66	송출컴 안정화 테스트 및 파이널 파이트2【2022-04-08T07:00:47Z】	https://www.youtube.com/watch?v=adAb0bCTJqU	1	
67	촌철살인【2022-04-08T07:32:49Z】	https://www.youtube.com/watch?v=iNRteYz0Gsk	5	
68	선다고요 ? 【2022-04-08T08:05:26Z】	https://www.youtube.com/watch?v=cnKHUs4ULck	6	
69	속보 ) 100만원에 바니걸 펀딩【2022-04-08T08:11:24Z】	https://www.youtube.com/watch?v=JHB61jfLDc0	5	
70	팩트에 행패시전【2022-04-08T08:15:57Z】	https://www.youtube.com/watch?v=fdg4DtTfdP0	6	
71	송출컴 안정화 테스트 및 파이널 파이트2【2022-04-08T08:27:19Z】	https://www.youtube.com/watch?v=pxRn5QgYrT4	1	
72	앙탈부리는 쓉쓉덕【2022-04-08T08:47:54Z】	https://www.youtube.com/watch?v=3k2EwhVrdFo	5	
73	대국민사과【2022-04-08T08:51:06Z】	https://www.youtube.com/watch?v=jrFhX1iQ6Gg	8	
74	대체 어디가 쓸모가 많음 ?【2022-04-08T11:24:01Z】	https://www.youtube.com/watch?v=O6P7OGcx_ak	7	
75	독거노인에게 온 편지【2022-04-08T12:22:21Z】	https://www.youtube.com/watch?v=9fElBuTBzek	6	
76	허황된 반박【2022-04-08T12:22:45Z】	https://www.youtube.com/watch?v=TCDgwvoRUNw	9	
77	비양심맨【2022-04-08T12:53:07Z】	https://www.youtube.com/watch?v=YY601CPafSE	4	
78	오늘은 하고싶은거 합니당【2022-04-09T10:35:09Z】	https://www.youtube.com/watch?v=YdgmhFVZ3IM	1	
79	팩트폭격【2022-04-10T06:26:22Z】	https://www.youtube.com/watch?v=dHQNttc7qPE	5	
80	팩트폭격2【2022-04-10T06:27:52Z】	https://www.youtube.com/watch?v=JWK9t_2L-Fk	6	
81	팩트폭격3【2022-04-10T06:28:56Z】	https://www.youtube.com/watch?v=hygQYKYhnOg	6	
